row_index,document_id,model_name,constraint_type,scope,numerical_value,unit,requirement,exact_match,pages_found,matching_text_snippets
1597,26,claude-3-haiku-20240307,Safety,Entire lease area,1,per year,The Lessee must include a shutdown procedure in its Emergency Response Procedure and test the shutdown capability (functioning) of at least one WTG within the lease area at least annually.,True,76,"Page 76: ""...and shutdown of each requested wtg immediately after the shutd own order. the lessee may resume operations only upon notification from the entity (dod or uscg) that initiated the shutdown. 3.1.2.2 the lessee must include a shutdown procedure in its emergency response procedure and test the shutdown capability (functioning) of at least one wtg within the lease area at least annually. the lessee must submit the results of testing to bsee with the project’s annual inspection results. page 30 of 93"""
1618,26,gemini-1.5-pro,Environmental,Greater Atlantic Region (ME-VA),8667556622,,If in the Greater Atlantic Region (ME-VA): contact the NMFS Greater Atlantic Stranding Hotline (866-755-6622) regarding strandings.,False,,
1629,26,gpt-4o-mini,Technical,Lease area and export cable corridors,60,days,The Lessee must provide a post-installation Micrositing Report to BOEM and BSEE (in coordination with NMFS GARFO-HESD).,False,,
1642,26,gpt-4o-mini,Spatial,Positions of WTGs and OSSs relative to the shoreline.,22.5,kilometers,Selection of Alternative D would exclude all WTGs and OSSs positions within 14 miles (22.5 kilometers) of the shoreline.,False,,
1656,26,gemini-1.5-pro,Technical,"Submarine power cables, data cables, and acoustic monitoring devices",240,days,"At least 240 days prior to deployment, the Lessee must provide all information necessary for evaluation of the potential submarine power cables, data cables, and acoustic monitoring devices to be used in the Project to osd.dod-siting-clearinghouse@mail.mil for a 180-day review.",False,,
1736,26,claude-3-haiku-20240307,Spatial,Offshore wind farm project activities,1500,m,"The Lessee must ensure that, if the clearance and/or shutdown zones are expanded due to the verification of sound fields from Project activities, PSO coverage is sufficient to reliably monitor the expanded clearance and/or shutdown zones.",True,113,"Page 113: ""construction must be based on review of the weekly reports and other information, as appropriate. 5.11.3.2 the lessee must ensure that, if the clearance and/or shutdown zones are expanded due to the verification of sound fields from project activities, pso coverage is sufficient to reliably monitor the expanded clearance and/or shutdown zones. additional observers must be deployed on additional platforms for every 1,500 m that a clearance or shutdown zone is expanded beyond the initial clearance and shutdown zones (table 5.10-1; section 5...."""
1742,26,gpt-4o-mini,Spatial,"Lease Area, Wind Turbine Generators",1,nmi,included a 1 nmi (1.9 km) setback from the outer boundary of the south-eastbound traffic lane of the current Traffic Separation Scheme,False,,
1746,26,gemini-1.5-pro,Spatial,3 specified ASLFs,5,percent,"Micro-siting around three ASLFs (P-01, P-02, and P-04-A) that cannot be avoided by 164-foot (50-meter) buffers. The Lessee must shift all turbines in the UA row to the north-northeast up to 5 percent of the inter-turbine distance (±246 feet [75 meters] in the east-west direction and approximately 312 feet [95 meters] in the north-south direction).",False,,
1748,26,gemini-1.5-pro,Technical,Interarray and export cables,90,days,The Lessee must provide BSEE and BOEM with a cable monitoring report within 90 days following each inspection.,True,64,"Page 64: ""...inspection, and every 3 years thereafter. additional inspections must be conducted within 180 days of a storm event (as defined i n the post-storm event monitoring plan, described in section 2.21). the lessee must provide bsee and boem with a cable monitoring report within 90 days following each inspection. inspections of the cable location and burial must include high-resolution geophysical (hrg) methods, involving, for example, multibeam bathymetric survey equipment; and must identify seabed features,..."""
1772,26,claude-3-haiku-20240307,Technical,Offshore components within Lease Area,127,miles,"There will be associated support and access structures (for aforementioned wind turbines and offshore substations) and up to 127 miles (202.2 km) of inter-array cables, all of which will be located on the OCS within the Lease Area.",False,,
1773,26,claude-3-haiku-20240307,Technical,Offshore wind energy facility components,"[14, 18]",Megawatts (MW),"The selected alternative will allow for the construction, operation, maintenance, and eventual decommissioning of an offshore wind energy facility (the Project) consisting of up to 114 WTGs, ranging from 14 to 18 MW each, up to 4 OSSs, 1 met tower, inter-array cables linking the individual WTGs to the OSSs, and substation interconnector cables.",False,,
1795,26,claude-3-haiku-20240307,Environmental,Offshore wind farm lease area and within 1 mile of the lease area,72,hours,"Any occurrence of a dead or injured ESA-listed bird or bat in or within 1 mile of the lease area must be reported to BOEM, BSEE, and USFWS as soon as practicable, no later than 72 hours after the sighting, and the dead specimen will be carefully collected and preserved if practicable.",False,,
1801,26,gemini-1.5-pro,Safety,Offshore construction activities,60,days,"Not less than 60 days prior to commencing offshore construction activities, the Lessee must provide the USCG with a plan that describes the schedule and process for seabed preparation, export and inter-array cable installation, and WTGs and OSSs installation, including all planned mitigations to be implemented to minimize any adverse impacts to navigation while installation is ongoing.",False,,
1818,26,deepseek-chat,Safety,All offshore wind turbines,22,meters,Minimum clearance of 22 meters between lowest blade tip and mean high water spring tide,False,,
1829,26,gemini-1.5-pro,Environmental,Vessel transits within 1640 feet (500m) of the project area,1640,feet,"Vessel transits to and from the Project area that require PSOs will maintain a speed commensurate with weather conditions and effectively detecting sea turtles prior to reaching the 1,640-feet (500 m) avoidance measure.",False,,
1837,26,gemini-1.5-pro,Environmental,Foundation installation (pile driving),"[60, 30]",minutes,"These PSOs must maintain watch at all times 60 minutes prior to, during, and 30 minutes following all pile-driving activities.",False,,
1842,26,gpt-4o-mini,Environmental,"Lease Area, during construction and operation phases.",1,year,"The Lessee must conduct long-term monitoring of ambient noise and baleen whale, and commercially important fish vocalizations in the Lease Area before, during, and following construction.",False,,
1857,26,gemini-1.5-pro,Environmental,"Pre-Commissioning, Avian Protection",180,days,"At least 180 days prior to the start of commissioning of the first WTG, the Lessee must distribute a Compensatory Mitigation Plan for piping plovers, red knot, and roseate tern to BOEM, BSEE, and USFWS for review and comment.",False,,
1858,26,gpt-4o-mini,Jurisdictional,Seabed preparation activities within 500 m of in-use infrastructure.,60,business days,"If the Lessee concludes that it will be unable to reach a cable crossing agreement, the Lessee must inform BOEM as soon as possible, and no later than 60 business days before seabed preparation activities.",False,,
1863,26,gemini-1.5-pro,Technical,Commissioning of the last WTG,30,days,"At least 30, but no more than 60, days prior to the completion of commissioning of the last WTG (i.e., that date by which every WTG in the Project is installed with potential for blade rotation), the Lessee must notify NORAD for RAM scheduling.",False,,
1874,26,gpt-4o-mini,Technical,Export and inter-array cables,3.3,feet,"The Lessee must install the export and inter-array cables using jetting, trenching, or plowing.",False,,
1888,26,gpt-4o-mini,Environmental,Monitoring activities,12,hours,The PSO and PAM operator monitoring teams for all activities must also monitor these systems no less frequently than every 12 hours.,True,107,"Page 107: ""...ational awareness system, whalealert, uscg vhf channel 16, and the right whale sighting advisory system (rwsas) for the presence of narws once every 4 -hour shift during project- related activities. the pso and pam operator monitoring teams for all activities must also monitor these systems no less frequently than every 12 hours. if a vessel operator is alerted to a narw detection within the project area, the operator must immediately convey this information to the pso and pam teams. 5.8.10.2 the lessee’s staff or contractor..."""
