model_type,model_name,document_id,constraint_id,category,description,value,unit,source_section_number,geographic_scope,context_quote,component_name,value2,unit2
claude,claude-3-haiku-20240307,14,C-013,Operational Parameter,"Deepwater Wind will submit a decommissioning application to BOEM at least 6 months prior to decommissioning the Met Buoy, and will notify BOEM at least 60 days before commencing decommissioning activities.",,,6.0,Met Buoy Installation Area,"BOEM requires decommissioning of facilities described in the SAP in accordance with § 585.901. Deepwater Wind will submit a decommissioning application to BOEM as required by § 585.902(b) prior to decommissioning of the buoy. Following BOEM approval of the decommissioning application, Deepwater Wind will notify BOEM at least 60 days prior to vessel deployment.",Deepwater Wind Meteorological Buoy,,
claude,claude-3-haiku-20240307,14,C-014,Operational Parameter,"After decommissioning the Met Buoy, Deepwater Wind will conduct a photographic or video bottom survey to provide evidence that the area has been cleared, as required by § 585.902(a)(2).",,,6.2,Met Buoy Installation Area,"Following decommissioning, Deepwater Wind will conduct a photographic or video bottom survey to provide objective evidence to BOEM that the area has been cleared as required in § 585.902(a)(2).",Deepwater Wind Meteorological Buoy,,
claude,claude-3-haiku-20240307,15,C-001,Design Specification,"Up to 84 wind turbine generators (WTGs) at 87 potential locations, each with a maximum capacity of 11 MW",84,WTGs,2.4,Lease Area OCS-A 0487,"Sunrise Wind proposed the Project using a Project Design Envelope (PDE) framework, under which multiple aspects of the Project are potentially variable but would remain within the limits defined in the PDE. Within this PDE framework, the Project (Preferred Alternative in the Final EIS) consists of up to 84 wind turbine generators (WTGs) at 87 potential locations, each of which would have an up to 11 MW generation capacity;",Wind Turbine Generators,,
claude,claude-3-haiku-20240307,15,C-002,Design Specification,One direct current offshore converter station (OCS-DC),1,OCS-DC,2.4,Lease Area OCS-A 0487,"Sunrise Wind proposed the Project using a Project Design Envelope (PDE) framework, under which multiple aspects of the Project are potentially variable but would remain within the limits defined in the PDE. Within this PDE framework, the Project (Preferred Alternative in the Final EIS) consists of up to 84 wind turbine generators (WTGs) at 87 potential locations, each of which would have an up to 11 MW generation capacity; one direct current offshore converter station (OCS-DC);",Offshore Converter Station,,
claude,claude-3-haiku-20240307,15,C-003,Design Specification,Up to 135 inter-array cables connecting the individual WTGs to the OCS-DC,135,cables,2.4,Lease Area OCS-A 0487,"Sunrise Wind proposed the Project using a Project Design Envelope (PDE) framework, under which multiple aspects of the Project are potentially variable but would remain within the limits defined in the PDE. Within this PDE framework, the Project (Preferred Alternative in the Final EIS) consists of up to 84 wind turbine generators (WTGs) at 87 potential locations, each of which would have an up to 11 MW generation capacity; one direct current offshore converter station (OCS-DC); and up to 135 inter-array cables linking the individual WTGs to the OCS-DC.",Inter-Array Cables,,
claude,claude-3-haiku-20240307,15,C-004,Design Specification,One onshore converter station (OnCS-DC),1,OnCS-DC,2.4,"Onshore in the Town of Brookhaven, Long Island, New York","Sunrise Wind proposed the Project using a Project Design Envelope (PDE) framework, under which multiple aspects of the Project are potentially variable but would remain within the limits defined in the PDE. Within this PDE framework, the Project (Preferred Alternative in the Final EIS) consists of up to 84 wind turbine generators (WTGs) at 87 potential locations, each of which would have an up to 11 MW generation capacity; one direct current offshore converter station (OCS-DC); and up to 135 inter-array cables linking the individual WTGs to the OCS-DC.",Onshore Converter Station,,
claude,claude-3-haiku-20240307,15,C-005,Design Specification,One offshore transmission cable connecting the OCS-DC to onshore infrastructure,1,cable,2.4,"From the OCS-DC to landfall on Long Island, New York","Sunrise Wind proposed the Project using a Project Design Envelope (PDE) framework, under which multiple aspects of the Project are potentially variable but would remain within the limits defined in the PDE. Within this PDE framework, the Project (Preferred Alternative in the Final EIS) consists of up to 84 wind turbine generators (WTGs) at 87 potential locations, each of which would have an up to 11 MW generation capacity; one direct current offshore converter station (OCS-DC); and up to 135 inter-array cables linking the individual WTGs to the OCS-DC.",Offshore Transmission Cable,,
claude,claude-3-haiku-20240307,15,C-006,Design Specification,One onshore interconnection cable connecting the OnCS-DC to the Long Island Power Authority Holbrook Substation,1,cable,2.4,From the OnCS-DC to the Long Island Power Authority Holbrook Substation,"Sunrise Wind proposed the Project using a Project Design Envelope (PDE) framework, under which multiple aspects of the Project are potentially variable but would remain within the limits defined in the PDE. Within this PDE framework, the Project (Preferred Alternative in the Final EIS) consists of up to 84 wind turbine generators (WTGs) at 87 potential locations, each of which would have an up to 11 MW generation capacity; one direct current offshore converter station (OCS-DC); and up to 135 inter-array cables linking the individual WTGs to the OCS-DC.",Onshore Interconnection Cable,,
claude,claude-3-haiku-20240307,15,C-007,Operational Parameter,Sunrise Wind has the ability to deliver a maximum capacity of 924 MW of offshore wind energy,924,MW,2.4,Lease Area OCS-A 0487,Sunrise Wind has the ability under the OREC to deliver a maximum capacity of 924 MW of offshore wind energy (NYSERDA 2019).,Wind Turbine Generators,,
claude,claude-3-haiku-20240307,15,C-008,Operational Parameter,Sunrise Wind is required to deliver 880 MW of offshore wind energy to New York State under an Offshore Wind Renewable Energy Certificate Purchase and Sale Agreement (OREC),880,MW,2.4,Lease Area OCS-A 0487,This Project would help the state of New York achieve the aggressive clean energy goals set forth in the Clean Energy Standards Order and the Climate Leadership and Community Protection Act through an Offshore Wind Renewable Energy Certificate Purchase and Sale Agreement (OREC) with the New York State Energy Research and Development Authority (NYSERDA) to deliver 880 MW of offshore wind energy.,Wind Turbine Generators,,
claude,claude-3-haiku-20240307,16,C-001,Design Specification,The Project 1 wind turbines shall have a maximum hub height of 522 feet (159 meters) above mean sea level and a maximum blade tip height of 932 feet (284 meters) above mean sea level.,522.0,feet,3.1,Project 1,The Preferred Alternative would ... restrict the height of WTGs in Project 1 to a maximum hub height of 522 ft (159 m) AMSL and maximum blade tip height of 932 ft (284 m) AMSL.,Wind Turbine Generators,,
claude,claude-3-haiku-20240307,16,C-002,Design Specification,"The total number of permanent structures (WTGs, OSSs, and/or met tower) constructed for the Project shall not exceed 197.",197.0,,3.1,Entire Project,"The total number of permanent structures constructed (WTGs, OSSs, and/or met tower) may not exceed 197.",Wind Turbine Generators,,
claude,claude-3-haiku-20240307,16,C-003,Design Specification,The wind turbines shall be arranged in a uniform grid pattern with rows oriented east-northeast to west-southwest spaced 1.0 nautical mile (1.9 kilometers) apart and rows oriented north to south spaced 0.6 nautical mile (1.1 kilometers) apart.,,,3.1,Entire Project,"However, modifications would be made to the wind turbine array layout to require the proposed OSSs, met tower, and WTGs to be aligned in a uniform grid with rows in an east-northeast to west-southwest direction spaced 1.0 nautical mile (nmi) (1.0 km) apart and rows in an approximately north to south direction spaced 0.6 nmi (1.1 km) apart.",Wind Turbine Generators,,
claude,claude-3-haiku-20240307,16,C-004,Environmental Mitigation,"Up to 29 wind turbines, 1 offshore substation, and associated inter-array cables shall be microsited outside of the 1,000-foot (305-meter) buffer of the ridge and swale features within the NMFS-identified Areas of Concern 1 and 2.",1000.0,feet,3.1,Areas of Concern 1 and 2,"microsite up to 29 WTGs, 1 OSS, and associated interarray cables outside of the 1,000 foot (305-meter) buffer of the ridge and swale features within the NMFS-identified AOC 1 and AOC 2",Wind Turbine Generators,,
claude,claude-3-haiku-20240307,16,C-005,Environmental Mitigation,A single wind turbine shall be removed from a location approximately 150 to 200 feet (45.8 to 61 meters) from the observed Fish Haven (Atlantic City Artificial Reef Site).,150.0,feet,3.1,Vicinity of the Fish Haven (Atlantic City Artificial Reef Site),and the removal of a single turbine approximately 150 to 200 ft (45.8 to 61 m) from the observed Fish Haven (Atlantic City Artificial Reef Site),Wind Turbine Generators,,
claude,claude-3-haiku-20240307,16,C-006,Design Specification,"The Project shall include up to 383 nautical miles (710 kilometers) of submarine export cables, consisting of up to two routes to New Jersey.",383.0,nautical miles,2.5,Export Cable Corridors,"As proposed in the COP, the two Projects will include up to 383 nm (710 km) of submarine export cables, consisting of up to two routes to New Jersey.",Export Cables,,
claude,claude-3-haiku-20240307,16,C-007,Design Specification,"The Project 1 export cable will interconnect in Atlantic City, New Jersey, and the Project 2 export cable will interconnect in Sea Girt, Monmouth County, New Jersey.",,,2.5,Export Cable Landfall Locations,"The COP further proposes that the Project 1 export cable will interconnect in Atlantic City, New Jersey, and the Project 2 export cable will interconnect in Sea Girt, Monmouth County, New Jersey.",Export Cables,,
claude,claude-3-haiku-20240307,16,C-008,Environmental Mitigation,"A minimum 0.81-nautical mile (1,500-meter) setback shall be provided between the wind turbines in the Atlantic Shores South Lease Area (OCS-A 0499) and the wind turbines in the Ocean Wind 1 Lease Area (OCS-A 0498).",0.81,nautical miles,3.1,Boundary between Atlantic Shores South and Ocean Wind 1 Lease Areas,"and provide a minimum 0.81-nautical mile (1,500-meter) setback between the WTGs in Atlantic Shores South and the WTGs in Ocean Wind 1 (Lease Area OCS-A 0498) by removing two WTGs and micrositing one WTG from Project 1.",Wind Turbine Generators,,
